"","id","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","sqft_living15","sqft_lot15","split"
"1",1,2395000,4,3.25,3800,19798,2,0,0,3,10,3800,0,1969,2009,3940,18975,"train"
"2",2,679000,3,2.5,2770,9350,2,0,3,3,8,2770,0,1957,2000,2660,9695,"train"
"3",3,664000,2,1.75,1720,5785,1,0,0,3,6,860,860,1948,2002,1680,5184,"train"
"4",4,915000,5,2.5,2750,5589,1.5,0,0,5,9,1840,910,1910,0,1460,4250,"train"
"5",5,450000,5,2.5,2850,209523,1,0,0,4,7,1930,920,1925,1968,2220,209523,"train"
"6",6,305000,4,2.5,2320,4683,2,0,0,3,7,2320,0,2007,0,2230,5750,"train"
"7",7,531500,4,2.75,3110,49765,1,0,0,4,8,3110,0,1958,1972,1880,19709,"train"
"8",8,690000,5,3.5,2690,4800,2,0,2,3,8,1930,760,1919,1984,2080,4900,"train"
"9",9,890000,4,3.25,3180,194278,2,0,0,3,10,3180,0,2005,0,2200,178160,"train"
"10",10,366000,4,2.75,2170,9743,2,0,0,3,7,2170,0,1995,0,1670,7734,"train"
"11",11,525000,3,1.75,2870,26500,1.5,0,1,3,8,2870,0,1948,1981,2420,20500,"train"
"12",12,1057000,4,2.75,4510,5000,2.5,0,2,3,8,3270,1240,1941,2000,2010,5000,"train"
"13",13,569000,3,2,1990,3000,1.5,0,0,3,7,1230,760,1908,1970,1600,4080,"train"
"14",14,765000,4,3.5,2760,4000,2,0,2,3,8,2000,760,1926,2014,1690,4000,"train"
"15",15,1130000,4,2.5,2660,11200,2,0,0,3,9,2660,0,1999,0,3290,11275,"train"
"16",16,500000,4,2.5,1770,8155,1.5,0,0,4,6,1770,0,1970,1993,1460,7360,"train"
"17",17,570000,3,2,1890,29185,1,0,0,3,7,1470,420,1949,2013,2580,11600,"train"
"18",18,458400,4,2.5,1910,10300,1,0,0,3,8,1910,0,1921,1968,1910,7750,"train"
"19",19,593567,3,2.5,1770,3205,2,0,0,3,9,1770,0,2005,0,2120,4134,"train"
"20",20,790000,3,1.75,2050,4080,2,0,0,3,8,2050,0,1991,0,1890,4080,"train"
"21",21,608250,4,2.75,3030,21780,2,0,0,3,8,3030,0,1986,0,3020,28027,"train"
"22",22,462500,2,2,1540,7290,2,0,0,3,7,1540,0,1948,1983,1540,7072,"train"
"23",23,671000,4,2.75,1890,1475,2,0,0,3,9,1200,690,2015,0,1650,1682,"train"
"24",24,275000,3,1.5,1030,7184,1,0,0,4,7,1030,0,1968,0,1330,7262,"train"
"25",25,1598890,4,4.5,3780,6000,2,0,4,4,11,2770,1010,1910,1977,2660,6000,"train"
"26",26,360000,3,1,1120,10500,1,0,0,4,7,1120,0,1966,0,1320,10500,"train"
"27",27,885000,4,3.75,2400,3520,1,0,0,3,7,1370,1030,1924,2005,2230,1419,"train"
"28",28,787500,2,2.5,2390,6928,2,0,3,4,8,1810,580,1949,1982,2390,12852,"train"
"29",29,626000,3,1.75,2430,5000,2,0,0,4,7,1760,670,1945,0,1320,4062,"train"
"30",30,406000,4,1,1580,8475,1.5,0,2,4,7,1580,0,1928,0,1700,5650,"train"
"31",31,604000,3,2,1560,2589,1,0,0,3,7,790,770,1923,2001,1450,3893,"train"
"32",32,498000,2,2,1140,8282,1,0,0,3,6,1140,0,1924,2009,1650,9000,"train"
"33",33,1740000,4,3.75,3300,4545,1.5,0,4,3,10,2600,700,1926,1999,3300,5000,"train"
"34",34,460000,3,2.25,1620,7350,1,0,0,3,7,1170,450,1969,0,1800,7350,"train"
"35",35,1050000,4,4,4550,54013,1,0,1,4,9,2300,2250,1989,0,3540,39634,"train"
