price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,split
1274950.00,4,2.75,3820,8850,2,0,0,3,10,3820,0,2014,0,98033,2330,12000,train
172380.00,3,1,970,8378,1,0,0,4,6,970,0,1962,0,98023,1050,8563,train
194990.00,6,2.5,1560,7144,1,0,0,3,6,1060,500,1913,0,98118,1300,6232,train
676000.00,4,2.5,2800,5368,2,0,0,3,8,2800,0,2003,0,98074,2790,5368,train
313500.00,3,1.75,1610,7350,1,0,0,3,8,1610,0,1974,0,98058,2120,7350,train
190000.00,3,1,1510,8760,1,0,0,4,6,1510,0,1946,0,98002,1040,7828,train
1705000.00,3,3,2490,27702,2,1,4,3,10,2490,0,2000,0,98116,2580,12119,train
190000.00,3,1,1200,10458,1,0,0,4,6,1200,0,1961,0,98023,1160,9000,train
16980000.00,4,3,3600,9687,2,0,0,4,9,3600,0,1959,1995,98004,2620,10400,train
32500.00,3,2.25,1352,1694,3,0,0,3,8,1352,0,2007,0,98125,1439,1387,train
198500.00,2,1,1050,9600,1,0,0,4,6,1050,0,1959,0,98023,990,8880,train
725000.00,5,2.75,2830,5310,2,0,0,3,9,2830,0,2006,0,98052,3150,6581,train
805000.00,4,2.25,2440,9889,1,0,0,3,7,1540,900,1952,0,98115,1710,6284,train
500000.00,4,2.5,2900,5760,1,0,0,4,8,1660,1240,1959,0,98118,2250,6098,train
765000.00,5,3,2870,5700,1,0,0,3,7,1950,920,1964,0,98103,1730,5529,train
292000.00,3,2.5,1270,1283,3,0,0,3,7,1270,0,2007,0,98125,1270,1512,train
640000.00,3,2.25,1980,10115,1,0,0,3,8,1980,0,1959,0,98005,2800,10143,train
450000.00,3,2,1680,11250,1,0,0,4,8,1680,0,1967,0,98045,1760,12160,train
4023000.00,3,1.75,1480,4050,1,0,0,3,7,870,610,1926,0,98115,1350,4500,train
39250.00,4,2,1950,8040,1,0,0,3,7,1950,0,1961,0,98125,1950,8092,train
329000.00,5,2.75,2570,7260,2,0,0,3,8,2570,0,1996,0,98092,2200,7421,train
615000.00,2,1.5,880,2400,1.5,0,0,3,7,880,0,1929,0,98122,1220,4440,train
347500.00,3,2.5,1890,7053,2,0,0,4,8,1890,0,1992,0,98031,2000,7226,train
810000.00,3,1.5,1520,9041,1,0,0,4,7,1520,0,1954,0,98004,3260,10020,train
639000.00,3,2.25,1400,2421,2,0,0,3,9,1400,0,2005,0,98034,1500,2743,train
790000.00,4,2.5,3500,7519,2,0,0,3,9,3500,0,2004,0,98053,3920,7982,train
610000.00,4,2.5,2980,5896,2,0,0,3,8,2980,0,2001,0,98053,2900,5712,train
576250.00,2,1.75,1530,5000,2,0,0,4,7,1260,270,1989,0,98107,1470,5000,train
4495000.00,4,3,2580,7299,2,0,0,3,8,2580,0,1998,0,98058,2250,6165,train
72999.00,6,4.5,3600,6110,2,0,0,3,9,2510,1090,2012,0,98118,1360,5800,train
264950.00,4,1,1810,7500,1,0,0,2,7,1410,400,1959,0,98168,1250,6255,train
749500.00,4,2.75,2490,3840,1.5,0,0,4,7,1610,880,1922,0,98103,1420,4000,train
439000.00,3,2.25,1830,13477,1,0,3,4,7,1170,660,1981,0,98034,1960,11344,train
440000.00,3,1.5,1270,1443,3,0,0,3,8,1270,0,2007,0,98115,1270,1413,train
1125000.00,6,4.25,3100,9378,3,0,2,3,11,3100,0,1978,0,98112,3270,6334,train
224950.00,3,1.5,1630,9282,1,0,0,4,7,1630,0,1963,0,98022,1420,9282,train
368000.00,3,1.75,1750,14400,1,0,0,4,7,1750,0,1951,0,98166,2030,14400,train
480000.00,4,2.25,2520,2370,2,0,0,3,8,1690,830,1908,0,98122,1530,2370,train
8397040.00,4,3.25,2950,4161,2,0,0,3,10,2210,740,2014,0,98027,2790,3693,train
16000.00,3,1,1200,8360,1,0,0,2,6,1200,0,1948,0,98118,1570,6823,train
724500.00,3,3.25,3240,4185,2,0,0,3,8,2770,470,2011,0,98075,2660,4692,train
550285.00,2,1.75,1680,4500,1,0,0,3,8,1680,0,2004,0,98053,1670,4500,train
250000.00,3,1.5,1072,4339,2,0,0,3,7,1072,0,2009,0,98042,1443,4341,train
464500.00,4,2.5,1750,11381,1,0,0,4,7,1610,140,1947,0,98155,1080,11375,train
593500.00,3,1,1370,4000,2,0,0,4,8,1370,0,1918,0,98105,1370,4000,train
394950.00,3,2.5,1350,1250,3,0,0,3,8,1270,80,2006,0,98136,1350,886,train
627500.00,4,1,1560,4080,1.5,0,0,3,7,1560,0,1923,0,98103,1890,4080,train
316500.00,3,2.5,1770,3873,2,0,0,3,7,1770,0,2005,0,98058,2280,4330,train
3825000.00,3,1.75,1040,9000,1,0,0,4,7,1040,0,1967,0,98027,1750,10878,train
25000.00,4,1.5,1220,4900,1,0,0,3,6,1220,0,1942,0,98118,1410,3000,train
362000.00,3,2.75,1420,955,2,0,0,3,8,1160,260,2004,0,98029,1420,955,train
202000.00,2,1,740,6550,1,0,0,4,5,740,0,1946,0,98168,1080,8515,train
1075000.00,4,2.25,2820,5000,1.5,0,2,4,9,1800,1020,1926,0,98122,2880,6000,train
420000.00,3,1.75,1820,22320,1,0,0,3,7,1250,570,1977,0,98053,2030,22320,train
770000.00,3,2.5,2730,11380,2,0,0,3,10,2730,0,1995,0,98075,2800,10070,train
470000.00,4,2.75,2310,7350,1,0,0,3,8,1670,640,1989,0,98011,2600,6077,train
639000.00,4,2.5,2500,8540,2,0,0,3,9,2500,0,1990,0,98029,2560,8475,train
408200.00,3,2.5,1800,5761,2,0,0,4,7,1800,0,1990,0,98106,1800,5952,train
5085000.00,4,1.5,1800,6750,1.5,0,0,4,7,1800,0,1950,0,98115,1420,5900,train
40000.00,2,1,920,5120,1,0,0,5,7,920,0,1952,0,98136,1190,5120,train
608000.00,3,2.25,1720,5234,2,0,0,3,9,1240,480,2011,0,98118,1720,5825,train
592350.00,2,2,1570,4665,1,0,0,3,8,1570,0,2006,0,98053,2165,6262,train
363000.00,2,2,920,1201,2,0,0,3,8,800,120,2009,0,98144,1150,1161,train
450000.00,2,1.5,1020,1049,3,0,0,3,8,1020,0,2008,0,98103,1350,1395,train
485000.00,3,2.5,2340,59058,1,0,0,3,8,2340,0,1985,0,98038,2700,37263,train
300000.00,4,2.5,2700,10814,1,0,0,4,8,1560,1140,1966,0,98030,2460,6310,train
215000.00,3,1,960,7200,1,0,0,4,6,960,0,1958,0,98166,1060,7620,train
1655000.00,4,2.25,3530,5500,2,0,0,3,8,2860,670,1940,0,98105,2840,5500,train
7750000.00,3,3,1820,4300,1.5,0,0,4,8,1620,200,1914,1983,98107,1440,4300,train
35000.00,2,1,800,5150,1,0,0,4,6,800,0,1949,0,98118,1280,5150,train
295000.00,3,2.5,1570,6932,2,0,0,3,7,1570,0,1993,0,98038,1570,6271,train
699000.00,3,2.5,2680,5497,2,0,0,3,9,2680,0,2001,0,98052,2780,5497,train
431000.00,3,1.75,1630,9000,1,0,0,4,7,1630,0,1956,0,98166,1600,11120,train
550000.00,4,2,2070,9822,1,0,0,5,7,2070,0,1955,0,98006,1300,9572,train
271000.00,4,1.75,1710,7200,1,0,0,5,7,910,800,1975,0,98031,1730,7200,train
765000.00,3,1.75,2190,6450,1,0,0,3,8,1480,710,1957,0,98136,2190,6450,train
244500.00,2,1,910,9000,1,0,0,3,5,910,0,1923,0,98065,1290,9000,train
347500.00,4,2.5,2460,7350,2,0,0,3,9,2460,0,1989,0,98023,2390,8568,train
2350000.00,4,2.5,1810,39639,1,0,0,3,7,1230,580,1970,0,98042,1810,44866,train
35000.00,3,2.5,1630,3425,2,0,0,3,8,1630,0,1999,0,98059,1420,3425,train
390000.00,2,1,860,1800,1,0,0,3,7,860,0,1909,0,98119,2160,3120,train
242000.00,3,1.75,1500,7560,1,0,0,3,7,1500,0,1979,0,98003,1500,7560,train
518000.00,3,1,1270,6612,1.5,0,3,3,7,1270,0,1927,0,98118,2100,7680,train
488000.00,5,2,2020,5000,1.5,0,0,4,7,2020,0,1938,0,98117,1510,6600,train
630000.00,4,2,2000,5000,1.5,0,0,5,7,2000,0,1925,0,98144,2200,5000,train
630000.00,3,1.75,1710,8767,1,0,0,4,8,1710,0,1986,0,98033,2050,9200,train
641000.00,4,3.25,2760,4104,2,0,0,3,8,1900,860,2014,0,98056,2760,5186,train
653000.00,3,2.25,2800,17300,1,0,0,4,8,1420,1380,1971,0,98006,2140,12650,train
3200000.00,3,1.75,2220,11646,1,0,0,3,7,1270,950,1950,0,98028,1490,10003,train
58900.00,5,2,3930,10150,1.5,0,0,4,8,3070,860,1968,0,98008,2200,8190,train
470000.00,3,3.25,1710,2381,2,0,0,3,8,1360,350,2003,0,98029,1420,1163,train
254000.00,5,2,2080,16117,1,0,0,5,7,1740,340,1959,0,98001,1510,13068,train
507200.00,3,3.5,1630,1329,2,0,0,3,9,1360,270,2000,0,98122,1580,1319,train
330490.00,3,2.75,1440,7350,1,0,0,4,7,1040,400,1980,0,98058,1510,7350,train
379900.00,3,2.5,2190,5071,2,0,0,3,8,2190,0,2004,0,98038,2300,5654,train
400000.00,4,1.75,1770,12875,1,0,0,3,8,1770,0,1988,0,98028,2150,12875,train
525000.00,3,1.5,1840,10956,1,0,0,4,8,1840,0,1970,0,98033,1680,10950,train
147500.00,3,1.75,1010,6552,1,0,0,3,7,1010,0,1969,0,98042,1010,6552,train
15150000.00,4,4,4500,11795,2,0,0,3,12,4500,0,1991,0,98027,3930,11576,train
42700.00,3,2.5,2620,108464,2,0,0,4,8,2620,0,1990,0,98038,3190,105850,train
917000.00,4,2.5,3500,10891,2,0,2,3,10,3500,0,1995,0,98027,3820,13521,train
412000.00,3,1,1000,3844,1,0,0,5,7,900,100,1928,0,98133,1000,3920,train
242000.00,3,1,970,9600,1,0,0,3,7,970,0,1972,0,98045,1110,9600,train
374000.00,2,2.25,1100,1695,2,0,0,3,9,1100,0,2009,0,98118,1100,3082,train
460000.00,3,1.75,2560,8400,1,0,0,3,7,1970,590,1959,0,98011,1970,8400,train
1088000.00,3,2.5,2920,8113,2,0,0,3,8,2920,0,1950,2010,98004,2370,8113,train
232000.00,3,1.5,1390,11340,1,0,0,4,7,1390,0,1963,0,98031,1740,11340,train
275000.00,3,1.5,1170,1174,2,0,0,3,7,840,330,2007,0,98126,1170,2537,train
295000.00,3,17.5,1250,9486,1,0,0,4,6,1250,0,1971,0,98070,1270,9600,train
1250000.00,4,3.25,38200,24166,2,0,1,4,11,3310,510,1990,0,98040,2900,18786,train
995000.00,4,3.25,3530,200120,2,0,0,3,11,3530,0,1986,0,98052,3850,20707,train
289950.00,3,2.5,1960,3480,2,0,0,3,7,1960,0,2004,0,98056,2560,3500,train
470000.00,2,1,1220,4000,1.5,0,0,4,6,1220,0,1908,0,98103,1580,4000,train
479349.00,5,3,3223,6371,2,0,0,3,9,3223,0,2014,0,98042,1979,9008,train
315000.00,3,2.5,1660,10763,2,0,0,3,7,1660,0,1994,0,98038,2010,7983,train
345000.00,2,1,1770,16660,1,0,3,3,8,1220,550,1957,0,98023,2790,20504,train
630500.00,3,2.5,1909,1300,3,0,0,3,8,1766,143,2006,0,98103,1780,1248,train
330000.00,3,2.5,1870,4657,2,0,0,3,8,1870,0,2000,0,98055,2290,4795,train
274250.00,3,1,910,8450,1,0,0,4,6,910,0,1962,0,98059,1400,8040,train
319990.00,3,22.5,1840,7326,1,0,0,5,7,1370,470,1979,0,98031,2050,7475,train
300000.00,3,2.25,17600,5421,2,0,0,3,7,1760,0,1991,0,98038,1570,6000,train
535000.00,4,2.75,2360,151000,1,0,0,3,8,2360,0,2014,0,98146,1440,13346,train
370000.00,4,2.5,1812,5026,2,0,0,3,8,1812,0,2011,0,98055,2440,6007,train
320000.00,4,2.5,1940,7040,2,0,0,3,8,1940,0,1998,0,98092,2400,7145,train
540000.00,4,1.75,1720,4240,1.5,0,0,4,7,1460,260,1925,0,98144,1930,4280,train
387000.00,2,2.25,1230,1280,2,0,0,3,8,960,270,2012,0,98144,1130,1357,train
393000.00,3,2.25,2140,10256,2,0,0,3,8,2140,0,1987,0,98038,2040,11717,train
370000.00,6,2.75,3240,5750,1,0,0,4,6,2160,1080,1950,0,98002,1230,5750,train
550000.00,2,1,1420,3100,1,0,0,3,7,820,600,1924,0,98107,1420,3915,train
543200.00,6,22.5,2820,15600,1.5,0,2,5,7,1970,850,1940,0,98166,2520,7797,train
715000.00,5,3,34900,6091,2,0,0,3,9,3490,0,2009,0,98011,2870,5932,train
580000.00,3,2.5,2200,110000,2,0,2,3,9,2200,0,1978,0,98008,2200,12851,train
650000.00,5,3.5,3960,25245,2,0,0,3,9,2500,1460,1996,0,98056,2640,13675,train
385000.00,3,1.75,2160,5863,1.5,0,0,4,7,1260,900,1928,0,98144,1590,3000,train
693000.00,3,2.25,2120,13644,2,0,1,4,9,1420,700,1973,0,98040,2950,17060,train
445500.00,4,1.5,2210,10497,1,0,0,4,8,1650,560,1953,0,98166,1840,12697,train
275000.00,3,1,1000,8018,1,0,0,3,7,1000,0,1969,0,98034,1270,8000,train
1735000.00,4,3.5,4010,9654,2,0,0,3,10,4010,0,2007,0,98004,1870,9873,train
397950.00,4,1.75,2120,7620,2,0,0,3,8,2120,0,1971,2002,98166,1820,7620,train
415500.00,3,15,1240,12400,1,0,0,3,7,1240,0,1958,0,98007,1640,9600,train
303000.00,3,2.25,13400,873,3,0,0,3,8,1340,0,2009,0,98133,1340,1186,train
575000.00,2,1,980,36630,1,0,0,5,7,980,0,1909,0,98105,1620,3706,train
