"","X","height","relation"
"1",1,65.04851,"father"
"2",2,63.25094,"father"
"3",3,64.95532,"father"
"4",4,65.7525,"father"
"5",5,61.13723,"father"
"6",6,63.02254,"father"
"7",7,65.37053,"father"
"8",8,64.72398,"father"
"9",9,66.06509,"father"
"10",10,66.96738,"father"
"11",11,59.008,"father"
"12",12,62.93203,"father"
"13",13,63.67063,"father"
"14",14,64.07386,"father"
"15",15,64.68851,"father"
"16",16,65.15466,"father"
"17",17,66.37353,"father"
"18",18,65.57704,"father"
"19",19,67.36765,"father"
"20",20,66.75929,"father"
"21",21,67.79764,"father"
"22",22,69.5348,"father"
"23",23,62.54014,"father"
"24",24,63.81016,"father"
"25",25,64.4565,"father"
"26",26,64.9665,"father"
"27",27,64.70662,"father"
"28",28,65.73829,"father"
"29",29,65.50141,"father"
"30",30,65.55416,"father"
"31",31,66.90294,"father"
"32",32,66.57388,"father"
"33",33,66.53198,"father"
"34",34,67.90613,"father"
"35",35,68.29198,"father"
"36",36,67.74123,"father"
"37",37,68.46917,"father"
"38",38,69.38327,"father"
"39",39,71.81791,"father"
"40",40,62.41615,"father"
"41",41,64.49083,"father"
"42",42,64.4876,"father"
"43",43,63.92303,"father"
"44",44,65.44592,"father"
"45",45,65.02977,"father"
"46",46,65.67038,"father"
"47",47,68.66078,"father"
"48",48,66.54597,"father"
"49",49,64.85954,"father"
"50",50,69.60692,"father"
"51",51,64.8135,"father"
"52",52,65.32703,"father"
"53",53,65.83169,"father"
"54",54,65.83427,"father"
"55",55,65.56135,"father"
"56",56,65.8688,"father"
"57",57,65.77339,"father"
"58",58,67.09116,"father"
"59",59,66.61374,"father"
"60",60,67.41075,"father"
"61",61,67.27716,"father"
"62",62,66.61134,"father"
"63",63,68.17412,"father"
"64",64,67.80555,"father"
"65",65,68.32529,"father"
"66",66,68.07787,"father"
"67",67,68.96795,"father"
"68",68,68.9255,"father"
"69",69,69.60862,"father"
"70",70,70.35646,"father"
"71",71,70.00643,"father"
"72",72,72.75425,"father"
"73",73,62.82147,"father"
"74",74,62.86855,"father"
"75",75,63.91261,"father"
"76",76,64.54118,"father"
"77",77,64.51906,"father"
"78",78,66.02688,"father"
"79",79,65.81011,"father"
"80",80,66.01812,"father"
"81",81,65.53742,"father"
"82",82,65.73346,"father"
"83",83,66.77424,"father"
"84",84,66.67869,"father"
"85",85,66.97585,"father"
"86",86,66.94021,"father"
"87",87,66.84575,"father"
"88",88,67.12008,"father"
"89",89,67.74181,"father"
"90",90,68.27194,"father"
"91",91,67.60691,"father"
"92",92,68.44737,"father"
"93",93,67.65832,"father"
"94",94,68.71193,"father"
"95",95,69.32025,"father"
"96",96,68.7403,"father"
"97",97,69.13395,"father"
"98",98,69.34995,"father"
"99",99,68.6297,"father"
"100",100,69.58258,"father"
"101",101,70.39517,"father"
"102",102,71.19284,"father"
"103",103,70.82429,"father"
"104",104,71.65367,"father"
"105",105,73.28133,"father"
"106",106,63.03753,"father"
"107",107,63.66428,"father"
"108",108,65.38311,"father"
"109",109,64.60205,"father"
"110",110,66.40661,"father"
"111",111,65.76985,"father"
"112",112,65.66729,"father"
"113",113,66.05712,"father"
"114",114,66.54635,"father"
"115",115,66.5723,"father"
"116",116,66.64876,"father"
"117",117,67.71899,"father"
"118",118,68.48726,"father"
"119",119,67.82769,"father"
"120",120,67.55801,"father"
"121",121,68.07763,"father"
"122",122,69.16715,"father"
"123",123,68.693,"father"
"124",124,68.61779,"father"
"125",125,68.64797,"father"
"126",126,68.61666,"father"
"127",127,70.36485,"father"
"128",128,70.0099,"father"
"129",129,70.13984,"father"
"130",130,70.2073,"father"
"131",131,71.28063,"father"
"132",132,70.90445,"father"
"133",133,72.19036,"father"
"134",134,74.96203,"father"
"135",135,64.88218,"father"
"136",136,65.55174,"father"
"137",137,65.65889,"father"
"138",138,65.92826,"father"
"139",139,65.94198,"father"
"140",140,67.43646,"father"
"141",141,67.48444,"father"
"142",142,67.61344,"father"
"143",143,68.4518,"father"
"144",144,68.49456,"father"
"145",145,68.1056,"father"
"146",146,69.48308,"father"
"147",147,69.07389,"father"
"148",148,69.39251,"father"
"149",149,69.44294,"father"
"150",150,69.52131,"father"
"151",151,70.15463,"father"
"152",152,69.86911,"father"
"153",153,70.44394,"father"
"154",154,70.85393,"father"
"155",155,71.30074,"father"
"156",156,72.13978,"father"
"157",157,72.19045,"father"
"158",158,75.43393,"father"
"159",159,64.51788,"father"
"160",160,66.36335,"father"
"161",161,65.56855,"father"
"162",162,66.78957,"father"
"163",163,66.91193,"father"
"164",164,68.1714,"father"
"165",165,67.50102,"father"
"166",166,67.83492,"father"
"167",167,68.95255,"father"
"168",168,69.26,"father"
"169",169,68.74223,"father"
"170",170,69.74288,"father"
"171",171,70.29942,"father"
